Gene_Symbol,U_statistic,P_value,FDR
TSPOAP1,106036.0,0.4397964232449276,
MPO,93370.0,0.04605063797429109,
PON1,100732.0,0.699174754250363,
GCFC2,86012.5,0.0003151098347528736,
WDR54,117049.5,0.001477427299499219,
CROT,108604.5,0.1822771906699795,
ABCB4,112273.0,0.03273035056431742,
KMT2E,90824.5,0.010738736835475646,
RHBDD2,110862.0,0.06769084861696105,
SOX8,95633.5,0.13354184626931725,
IBTK,96383.5,0.18141909696251468,
ZNF195,98549.0,0.3880175573043061,
MYCBP2,87759.5,0.0012782607983713638,
FBXL3,88397.5,0.002060243119718504,
ITGAL,118220.5,0.0005926529753684604,
PDK2,91639.5,0.017644121444308384,
ITGA3,103089.0,0.8976802675436713,
ZFX,97065.0,0.23503645277924246,
LAMP2,90479.0,0.00862471674306136,
ITGA2B,109092.5,0.14975169038506883,
ASB4,86995.5,0.0006922591780247842,
GDE1,107008.0,0.32465976219440973,
REX1BD,119660.5,0.00017711194785843316,
CRLF1,99880.0,0.5670623933404602,
OSBPL7,109875.5,0.10707063717239164,
TMEM98,101561.0,0.8375172108392368,
YBX2,99041.5,0.4498874789998699,
KRT33A,100269.0,0.6222394661761106,
MAP3K14,99861.5,0.5643275452677368,
ABCC8,104607.5,0.6452262725134441,
CACNG3,105612.5,0.35518776261790785,
TMEM132A,117305.5,0.0012163452584342525,
AP2B1,104848.0,0.6079871016786718,
TAC1,93806.0,0.056892279654076096,
ZNF263,108885.0,0.1629953567312118,
CX3CL1,89600.5,0.004824230742678749,
SPATA20,122263.5,1.571752838238387e-05,
CACNA1G,93219.0,0.04257345860712176,
TNFRSF12A,110479.0,0.08126890760927029,
DLX6,99351.5,0.4908706490175194,
MAP3K9,100478.0,0.6586953957078573,
RALA,94134.5,0.06757595062270691,
BAIAP2L1,114579.5,0.008306150913558888,
KDM7A,90922.5,0.011416866716811903,
ETV1,91181.0,0.013391320757383833,
AGK,101769.0,0.873180021729766,
ALDH3B1,107878.5,0.23993907694247818,
TTC22,104883.0,0.6026477736853948,
PHTF2,108032.0,0.22678575903767662,
CCL26,103948.5,0.7516982060285025,
FARP2,104097.0,0.7272027282045328,
USH1C,98744.5,0.41150917042845425,
GGCT,109098.0,0.14941235945477147,
DBF4,109639.5,0.11877579862912058,
